system:index,grid_id,mean,.geo
00000000000000000011,GRID_0017,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.353153615845006],[78.23945396513481,17.362160981357682],[78.23000063319306,17.362160986053677],[78.23000063319306,17.353153587998946],[78.23945396513481,17.353153615845006]]]}"
00000000000000000012,GRID_0018,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.362160981357682],[78.23945396513481,17.37117285097936],[78.23000063319306,17.37117279934312],[78.23000063319306,17.362160986053677],[78.23945396513481,17.362160981357682]]]}"
00000000000000000013,GRID_0019,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.37117285097936],[78.23945396513481,17.38018016737732],[78.23000063319306,17.380180237138767],[78.23000063319306,17.37117279934312],[78.23945396513481,17.37117285097936]]]}"
00000000000000000014,GRID_0020,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.38018016737732],[78.23945396513481,17.389187635663113],[78.23000063319306,17.38918756046841],[78.23000063319306,17.380180237138767],[78.23945396513481,17.38018016737732]]]}"
00000000000000000015,GRID_0021,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.389187635663113],[78.23945396513481,17.398199428826423],[78.23000063319307,17.39819947498099],[78.23000063319306,17.38918756046841],[78.23945396513481,17.389187635663113]]]}"
00000000000000000016,GRID_0022,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.398199428826423],[78.23945396513481,17.40720684374129],[78.23000063319306,17.407206833792042],[78.23000063319307,17.39819947498099],[78.23945396513481,17.398199428826423]]]}"
00000000000000000017,GRID_0023,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.40720684374129],[78.23945396513481,17.416214230822973],[78.23000063319307,17.416214164796347],[78.23000063319306,17.407206833792042],[78.23945396513481,17.40720684374129]]]}"
00000000000000000018,GRID_0024,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.416214230822973],[78.23945396513481,17.42522602993099],[78.23000063319307,17.425226085356492],[78.23000063319307,17.416214164796347],[78.23945396513481,17.416214230822973]]]}"
00000000000000000019,GRID_0025,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.42522602993099],[78.23945396513481,17.434233448185527],[78.23000063319307,17.434233447590668],[78.23000063319307,17.425226085356492],[78.23945396513481,17.42522602993099]]]}"
0000000000000000001a,GRID_0026,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.434233448185527],[78.23945396513481,17.443245277369538],[78.23000063319306,17.443245309481128],[78.23000063319307,17.434233447590668],[78.23945396513481,17.434233448185527]]]}"
0000000000000000001b,GRID_0027,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.443245277369538],[78.23945396513481,17.452252635146422],[78.23000063319306,17.452252611293734],[78.23000063319306,17.443245309481128],[78.23945396513481,17.443245277369538]]]}"
0000000000000000001c,GRID_0028,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.452252635146422],[78.23945396513481,17.4612600503609],[78.23000063319306,17.461260059390014],[78.23000063319306,17.452252611293734],[78.23945396513481,17.452252635146422]]]}"
0000000000000000001d,GRID_0029,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.4612600503609],[78.23945396513481,17.470271874854575],[78.23000063319306,17.470271916683153],[78.23000063319306,17.461260059390014],[78.23945396513481,17.4612600503609]]]}"
0000000000000000001e,GRID_0030,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.470271874854575],[78.23945396513481,17.479279225332775],[78.23000063319306,17.479279300108775],[78.23000063319306,17.470271916683153],[78.23945396513481,17.470271874854575]]]}"
0000000000000000001f,GRID_0031,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.479279225332775],[78.23945396513481,17.488286631129707],[78.23000063319307,17.48828665005215],[78.23000063319306,17.479279300108775],[78.23945396513481,17.479279225332775]]]}"
00000000000000000020,GRID_0032,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.488286631129707],[78.23945396513481,17.497298533390232],[78.23000063319307,17.49729849636812],[78.23000063319307,17.48828665005215],[78.23945396513481,17.488286631129707]]]}"
00000000000000000021,GRID_0033,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.497298533390232],[78.23945396513481,17.50630587019696],[78.23000063319307,17.50630586621198],[78.23000063319307,17.49729849636812],[78.23945396513481,17.497298533390232]]]}"
00000000000000000022,GRID_0034,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.50630587019696],[78.23945396513481,17.515313260204277],[78.23000063319306,17.515313289286876],[78.23000063319307,17.50630586621198],[78.23945396513481,17.50630587019696]]]}"
00000000000000000023,GRID_0035,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.515313260204277],[78.23945396513481,17.52432514502982],[78.23000063319307,17.524325118251234],[78.23000063319306,17.515313289286876],[78.23945396513481,17.515313260204277]]]}"
00000000000000000024,GRID_0036,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.52432514502982],[78.23945396513481,17.53333246179138],[78.23000063319307,17.533332468142714],[78.23000063319307,17.524325118251234],[78.23945396513481,17.52432514502982]]]}"
00000000000000000025,GRID_0037,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.53333246179138],[78.23945396513481,17.542344361121387],[78.23000063319307,17.542344311665275],[78.23000063319307,17.533332468142714],[78.23945396513481,17.53333246179138]]]}"
00000000000000000026,GRID_0038,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.542344361121387],[78.23945396513481,17.55135169065138],[78.23000063319306,17.55135167438518],[78.23000063319307,17.542344311665275],[78.23945396513481,17.542344361121387]]]}"
00000000000000000027,GRID_0039,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.55135169065138],[78.23945396513481,17.56035906985527],[78.23000063319306,17.560359086809367],[78.23000063319306,17.55135167438518],[78.23945396513481,17.55135169065138]]]}"
00000000000000000028,GRID_0040,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.56035906985527],[78.23945396513481,17.56937094113198],[78.23000063319306,17.569370902361968],[78.23000063319306,17.560359086809367],[78.23945396513481,17.56035906985527]]]}"
00000000000000000029,GRID_0041,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.56937094113198],[78.23945396513481,17.578378328870073],[78.23000063319307,17.578378323380296],[78.23000063319306,17.569370902361968],[78.23945396513481,17.56937094113198]]]}"
0000000000000000002a,GRID_0042,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.578378328870073],[78.23945396513481,17.587385675303825],[78.23000063319306,17.58738570312693],[78.23000063319307,17.578378323380296],[78.23945396513481,17.578378328870073]]]}"
0000000000000000002b,GRID_0043,,"{""type"":""Polygon"",""coordinates"":[[[78.23945396513481,17.587385675303825],[78.23945396513481,17.596397601030144],[78.23000063319307,17.59639757321012],[78.23000063319306,17.58738570312693],[78.23945396513481,17.587385675303825]]]}"
0000000000000000002c,GRID_0044,,"{""type"":""Polygon"",""coordinates"":[[[78.24890279387981,17.200001346047824],[78.2489027938798,17.20900871586073],[78.23945396513481,17.2090087340811],[78.23945396513481,17.200001331949064],[78.24890279387981,17.200001346047824]]]}"
0000000000000000002d,GRID_0045,,"{""type"":""Polygon"",""coordinates"":[[[78.2489027938798,17.20900871586073],[78.24890279387981,17.218016073464028],[78.23945396513481,17.21801603530098],[78.23945396513481,17.2090087340811],[78.2489027938798,17.20900871586073]]]}"
